methodology,signal_name,classification,weight,total_observations,times_nonzero_value,times_nonzero_contribution,max_abs_contribution,mean_abs_contribution,fire_rate,discrimination_rate,total_turns_seen,turns_with_variance,n_strategies_using
jobs_to_be_done,meta.interview.phase.mid,CONSTANT,-3.0,51,40,40,3.0,2.352941,0.7843,0.0,51,0,1
jobs_to_be_done,technique.node.strategy_repetition.low,ACTIVE,0.3,352,25,25,0.3,0.021307,0.071,0.7778,9,7,1
jobs_to_be_done,temporal.strategy_repetition_count,ACTIVE,-0.7,532,469,469,1.5,0.448008,0.8816,0.8816,76,67,7
jobs_to_be_done,temporal.strategy_repetition_count.high,ACTIVE,0.0,532,126,46,1.0,0.085338,0.2368,0.2368,76,18,7
jobs_to_be_done,temporal.turns_since_strategy_change,CONSTANT,-0.6,76,58,58,0.6,0.227368,0.7632,0.0,76,0,1
means_end_chain,graph.chain_completion.has_complete.false,CONSTANT,1.0,30,26,26,1.0,0.653333,0.8667,0.0,30,0,1
means_end_chain,graph.max_depth,ACTIVE,-0.3,60,60,60,0.7,0.453333,1.0,1.0,30,30,2
means_end_chain,graph.node.exhaustion_score.low,ACTIVE,1.0,274,273,273,1.0,0.983212,0.9964,0.0769,13,1,2
means_end_chain,graph.node.focus_streak.low,ACTIVE,0.5,268,2,2,0.5,0.003731,0.0075,0.1667,12,2,1
means_end_chain,graph.node.focus_streak.none,CONSTANT,0.6,6,6,6,0.6,0.6,1.0,0.0,1,0,1
means_end_chain,graph.node.yield_stagnation.false,CONSTANT,0.5,6,6,6,0.5,0.5,1.0,0.0,1,0,1
means_end_chain,llm.certainty.low,ACTIVE,0.5,90,21,21,0.7,0.124444,0.2333,0.2333,30,7,3
means_end_chain,llm.certainty.mid,CONSTANT,0.7,30,4,4,0.7,0.093333,0.1333,0.0,30,0,1
means_end_chain,llm.engagement.high,ACTIVE,0.5,60,34,34,0.5,0.255,0.5667,0.5667,30,17,2
means_end_chain,llm.engagement.low,ACTIVE,-0.5,90,30,30,0.8,0.211111,0.3333,0.3333,30,10,3
means_end_chain,llm.engagement.mid,ACTIVE,0.3,120,12,12,0.4,0.035,0.1,0.1,30,3,4
means_end_chain,llm.global_response_trend.fatigued,ACTIVE,-0.6,60,14,14,1.0,0.186667,0.2333,0.2333,30,7,2
means_end_chain,llm.global_response_trend.shallowing,ACTIVE,0.4,90,6,6,0.5,0.028889,0.0667,0.0667,30,2,3
means_end_chain,llm.response_depth.high,DEAD,0.6,30,0,0,0.0,0.0,0.0,0.0,30,0,1
means_end_chain,llm.response_depth.low,DEAD,0.8,30,0,0,0.0,0.0,0.0,0.0,30,0,1
means_end_chain,llm.response_depth.mid,DEAD,0.3,30,0,0,0.0,0.0,0.0,0.0,30,0,1
means_end_chain,llm.response_depth.moderate,CONSTANT,0.15,30,14,14,0.15,0.07,0.4667,0.0,30,0,1
means_end_chain,llm.specificity.low,CONSTANT,0.8,30,12,12,0.8,0.32,0.4,0.0,30,0,1
means_end_chain,llm.valence.high,CONSTANT,0.4,30,12,12,0.4,0.16,0.4,0.0,30,0,1
means_end_chain,llm.valence.low,ACTIVE,0.3,60,20,20,0.5,0.133333,0.3333,0.3333,30,10,2
means_end_chain,meta.canonical.saturation,CONSTANT,0.3,30,30,30,0.06867,0.029833,1.0,0.0,30,0,1
means_end_chain,meta.conversation.saturation,CONSTANT,0.5,30,30,30,0.14645,0.093142,1.0,0.0,30,0,1
means_end_chain,temporal.strategy_repetition_count,ACTIVE,-0.3,150,135,135,0.8,0.187467,0.9,0.9,30,27,5
means_end_chain,temporal.turns_since_strategy_change,CONSTANT,-0.3,30,24,24,0.3,0.126,0.8,0.0,30,0,1
repertory_grid,graph.max_depth,CONSTANT,0.3,60,60,60,0.3,0.193333,1.0,0.0,30,0,2
repertory_grid,graph.node.edge_count,ACTIVE,0.2,70,57,57,1.8,0.334286,0.8143,1.0,4,4,2
repertory_grid,graph.node.exhaustion_score.low,ACTIVE,0.4,947,942,942,0.5,0.33094,0.9947,0.1923,26,5,5
repertory_grid,graph.node.focus_streak.high,DEAD,-0.6,947,0,0,0.0,0.0,0.0,0.0,26,0,5
repertory_grid,graph.node.focus_streak.low,ACTIVE,0.5,456,8,8,0.5,0.008772,0.0175,0.5714,14,8,1
repertory_grid,graph.node.focus_streak.medium,ACTIVE,-0.3,592,18,18,0.4,0.011486,0.0304,0.5714,21,12,4
repertory_grid,graph.node.focus_streak.none,ACTIVE,0.4,136,131,131,0.5,0.391176,0.9632,0.2857,7,2,3
repertory_grid,graph.node.has_outgoing.true,ACTIVE,0.6,873,460,460,0.6,0.240664,0.5269,1.0,22,22,3
repertory_grid,graph.node.is_orphan.true,ACTIVE,0.5,74,14,14,0.8,0.106757,0.1892,1.0,4,4,2
repertory_grid,llm.certainty.high,ACTIVE,0.6,90,39,39,0.6,0.202222,0.4333,0.4333,30,13,3
